Job Title,Rating,Company Name,Location,Headquarters,Sector,min_salary,max_salary,avg_salary,job_state,same_state,company_age,python,excel,hadoop,spark,aws,tableau,big_data
Data Analyst I,2.6,Cenlar,"Ewing, NJ","Ewing, NJ",-1,75,131,103, NJ,1,62,0,0,0,0,0,0,0
Scientist - Molecular Biology,5.0,Arsenal Biosciences,"South San Francisco, CA","South San Francisco, CA",Biotech & Pharmaceuticals,75,131,103, CA,1,1,0,0,0,0,0,0,0
Data Scientist,4.2,Eversight,"Palo Alto, CA","Palo Alto, CA",Information Technology,75,131,103, CA,1,7,1,0,0,0,0,0,0
"Computational Scientist, Machine Learning",4.1,Pfizer,"Cambridge, MA","New York, NY",Biotech & Pharmaceuticals,75,131,103, MA,0,171,1,1,0,0,1,0,0
Senior Data Scientist,4.8,Klaviyo,"Boston, MA","Boston, MA",Information Technology,75,131,103, MA,1,8,0,0,0,0,0,0,0
Data Scientist,3.3,Intellectual Ventures,"Bellevue, WA","Bellevue, WA",Finance,75,131,103, WA,1,20,1,1,0,0,0,0,0
Data Scientist,3.7,GovTech,"San Francisco, CA","Singapore, Singapore",Government,75,131,103, CA,0,4,1,1,0,0,0,1,0
Data Scientist,4.3,Quick Base,"Cambridge, MA","Cambridge, MA",Information Technology,75,131,103, MA,1,21,1,1,0,0,0,1,0
Data Analyst,4.8,Giving Assistant,"San Francisco, CA","San Francisco, CA",Business Services,75,131,103, CA,1,6,1,1,0,0,0,1,0
Data Scientist,3.7,Takeda,"Cambridge, MA","OSAKA, Japan",Biotech & Pharmaceuticals,75,131,103, MA,0,239,1,0,0,1,0,0,0
Data Scientist,4.0,Netskope,"San Francisco, CA","Santa Clara, CA",Information Technology,75,131,103, CA,0,8,1,1,0,1,0,0,1
Jr. Data Engineer,4.8,IT Concepts,Remote,"Vienna, VA",Information Technology,75,131,103,Remote,0,17,0,1,0,0,0,0,0
E-Commerce Data Analyst,3.5,iSeatz,"New Orleans, LA","New Orleans, LA",Information Technology,75,131,103, LA,1,21,0,1,0,0,0,0,0
Data Analytics Engineer,3.7,Summa Health System,"Akron, OH","Akron, OH",Health Care,75,131,103, OH,1,94,0,1,0,0,1,1,0
Senior Data Scientist,3.5,Benson Hill,"Saint Louis, MO","Saint Louis, MO",Biotech & Pharmaceuticals,75,131,103, MO,1,8,1,1,0,0,0,0,1
Product Data Scientist - Ads Data Science,4.1,Twitter,"San Francisco, CA","San Francisco, CA",Information Technology,75,131,103, CA,1,14,1,0,0,0,0,0,0
Data Scientist,3.2,Postmates - Corporate HQ,"San Francisco, CA","San Francisco, CA",Transportation & Logistics,75,131,103, CA,1,9,1,0,0,1,0,0,0
Data Scientist - Intermediate,4.5,Envision LLC,"Saint Louis, MO","Saint Louis, MO",Business Services,75,131,103, MO,1,26,1,1,0,0,0,0,0
Data Analyst,3.8,Swiss Re,"Fort Wayne, IN","Zurich, Switzerland",Insurance,75,131,103, IN,0,157,1,1,0,0,0,0,0
Machine Learning Engineer,4.5,Systems & Technology Research,"Woburn, MA","Woburn, MA",Aerospace & Defense,75,131,103, MA,1,10,1,1,0,0,0,0,0
Data Scientist,3.5,iRobot,"Bedford, MA","Bedford, MA",Retail,79,131,105, MA,1,30,1,0,0,0,0,0,0
Data Scientist,4.2,HG Insights,"Santa Barbara, CA","Santa Barbara, CA",Information Technology,79,131,105, CA,1,10,1,1,1,1,0,0,0
Global Data Analyst,3.8,Dermalogica,"Carson, CA","Carson, CA",Manufacturing,79,131,105, CA,1,34,0,1,0,0,0,1,0
Data Engineer,3.7,Bayview Asset Management,"Coral Gables, FL","Coral Gables, FL",Finance,79,131,105, FL,1,25,1,0,0,0,0,0,0
Data Scientist,3.7,Via Transportation,"New York, NY","New York, NY",Information Technology,79,131,105, NY,1,8,1,0,0,0,0,1,0
Data Scientist,4.0,Grid Dynamics,"Santa Clara, CA","San Ramon, CA",Information Technology,79,131,105, CA,0,14,1,1,0,0,0,1,1
Data & Machine Learning Scientist,3.3,Tempus Labs,"Chicago, IL","Chicago, IL",Biotech & Pharmaceuticals,79,131,105, IL,1,5,1,0,0,0,1,0,0
Data Scientist - Machine Learning,2.5,CareDx,"Brisbane, CA","Brisbane, CA",Biotech & Pharmaceuticals,79,131,105, CA,1,-1,1,1,0,1,0,0,0
Data Engineer (Remote),4.2,IZEA,"Winter Park, FL","Winter Park, FL",Business Services,79,131,105, FL,1,14,1,1,1,1,1,0,0
